filename,exercise_name,ip,frame_number,person_id,box_width,box_height,box_area,confidence,nose_x,nose_y,nose_confidence,left_eye_x,left_eye_y,left_eye_confidence,right_eye_x,right_eye_y,right_eye_confidence,left_ear_x,left_ear_y,left_ear_confidence,right_ear_x,right_ear_y,right_ear_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
squats_1.mp4,squats_1,unknown,0,0,65.5131,146.749,9613.99,0.924491,334.729,93.9979,0.726067,375.535,75.7811,0.749047,334.729,75.7811,0.757353,416.34,57.5644,0.470868,253.118,57.5644,0.610079,497.951,130.431,0.924091,212.313,130.431,0.906508,579.562,221.515,0.902446,130.702,221.515,0.925061,620.367,330.815,0.908994,49.0908,294.382,0.893169,416.34,330.815,0.735283,253.118,330.815,0.801736,497.951,458.332,0.847816,212.313,440.116,0.919847,457.146,567.633,0.888379,171.507,567.633,0.887773
squats_1.mp4,squats_1,unknown,1,0,65.5131,146.749,9613.99,0.922326,334.568,75.9966,0.733646,375.374,75.9966,0.759961,334.568,75.9966,0.764084,416.179,57.7799,0.480144,252.958,57.7799,0.61881,497.79,130.647,0.927426,212.152,130.647,0.909722,579.401,221.73,0.904507,130.541,221.73,0.929245,579.401,331.031,0.90578,48.9302,294.597,0.897171,456.985,331.031,0.748319,252.958,331.031,0.793611,497.79,458.548,0.85394,212.152,440.331,0.920514,456.985,567.848,0.887652,171.347,567.848,0.892684
squats_1.mp4,squats_1,unknown,2,0,65.5131,146.749,9613.99,0.922867,334.729,94.0696,0.719155,375.535,75.8528,0.765236,334.729,75.8528,0.770511,416.34,75.8528,0.49318,293.924,57.6361,0.624145,497.951,130.503,0.92688,212.313,130.503,0.910752,579.562,221.587,0.902506,130.702,221.587,0.933914,579.562,330.887,0.912026,49.0908,312.67,0.893775,457.146,330.887,0.741529,253.118,312.67,0.796037,497.951,458.404,0.84242,212.313,440.187,0.919786,457.146,567.704,0.889774,171.507,549.488,0.89426
squats_1.mp4,squats_1,unknown,3,0,65.5131,146.749,9613.99,0.922627,334.89,75.9966,0.719459,375.696,75.9966,0.751108,334.89,75.9966,0.754201,416.501,57.7799,0.484692,253.279,57.7799,0.61026,498.112,130.647,0.925243,212.474,130.647,0.904992,579.723,221.73,0.902749,130.863,221.73,0.927487,620.528,331.031,0.901354,49.2518,294.597,0.895776,457.307,331.031,0.732494,253.279,331.031,0.79252,498.112,458.548,0.845391,212.474,440.331,0.920272,457.307,567.848,0.889107,171.668,549.631,0.890804
squats_1.mp4,squats_1,unknown,4,0,65.5131,146.749,9613.99,0.92383,333.925,94.2133,0.716366,374.73,75.9966,0.751897,333.925,75.9966,0.755353,415.535,57.7799,0.484813,252.314,57.7799,0.595891,497.146,130.647,0.926456,211.508,130.647,0.906811,578.757,221.73,0.909115,129.897,221.73,0.925668,619.563,331.031,0.905053,48.2862,312.814,0.893351,456.341,331.031,0.742438,252.314,331.031,0.806526,497.146,458.548,0.841389,211.508,440.331,0.923,456.341,567.848,0.890016,170.703,549.631,0.890137
squats_1.mp4,squats_1,unknown,5,0,65.5131,146.749,9613.99,0.926837,334.568,76.2122,0.721702,375.374,76.2122,0.749835,334.568,76.2122,0.753231,416.179,57.9955,0.467593,293.763,57.9955,0.612322,497.79,130.862,0.925243,212.152,130.862,0.905356,579.401,240.163,0.903295,130.541,221.946,0.928336,620.207,331.246,0.905356,48.9302,313.03,0.89802,416.179,331.246,0.731524,252.958,331.246,0.803616,497.79,458.763,0.849393,212.152,440.547,0.919908,497.79,568.064,0.88947,130.541,568.064,0.891896
squats_1.mp4,squats_1,unknown,6,0,65.5131,146.749,9613.99,0.921544,335.051,76.1403,0.728311,375.857,76.1403,0.757839,335.051,76.1403,0.764084,416.662,57.9236,0.473475,294.246,57.9236,0.610503,498.273,130.79,0.926213,212.635,130.79,0.904022,579.884,240.091,0.9019,131.024,221.874,0.925728,579.884,331.174,0.904871,49.4128,312.958,0.898929,416.662,331.174,0.73304,212.635,331.174,0.792096,498.273,458.692,0.861155,212.635,440.475,0.921848,498.273,567.992,0.890319,131.024,567.992,0.889349
squats_1.mp4,squats_1,unknown,7,0,73.3746,115.303,8460.31,0.905908,341.343,118.607,0.311527,341.343,95.4221,0.462682,304.91,95.4221,0.451647,377.777,95.4221,0.466623,268.476,95.4221,0.326018,487.077,141.792,0.902385,195.609,141.792,0.910692,596.377,257.717,0.895412,49.8753,280.902,0.922818,487.077,304.086,0.852909,159.176,327.271,0.793369,414.21,327.271,0.753594,195.609,327.271,0.802342,487.077,443.196,0.912147,159.176,443.196,0.883347,487.077,582.306,0.904689,122.743,582.306,0.88371
squats_1.mp4,squats_1,unknown,8,0,68.1336,102.2,6963.28,0.944218,299.415,126.168,0.368642,338.651,100.01,0.491179,299.415,100.01,0.450798,377.888,73.853,0.344632,260.179,73.853,0.373857,495.595,126.168,0.904871,142.471,152.325,0.919423,613.304,230.797,0.908812,24.7629,283.112,0.896443,456.36,256.954,0.752927,220.943,283.112,0.881103,417.124,309.269,0.666709,181.707,309.269,0.738558,495.595,387.741,0.749532,142.471,387.741,0.660949,456.36,544.685,0.924879,103.235,544.685,0.842905
squats_1.mp4,squats_1,unknown,9,0,65.5131,89.0978,5837.07,0.914688,337.949,147.019,0.580126,337.949,147.019,0.536956,297.143,117.015,0.542292,378.754,117.015,0.478689,256.338,117.015,0.422786,460.365,147.019,0.878981,174.727,177.023,0.826716,582.782,267.035,0.834538,93.1161,327.043,0.767115,501.17,267.035,0.600074,215.532,267.035,0.734556,378.754,327.043,0.528225,174.727,327.043,0.585159,501.17,387.051,0.798886,133.922,417.055,0.671862,419.56,507.067,0.882134,93.1161,537.071,0.801069
squats_1.mp4,squats_1,unknown,10,0,62.8925,86.4772,5438.77,0.910118,301.724,143.972,0.579884,344.229,113.059,0.575518,301.724,113.059,0.503427,386.735,113.059,0.391743,259.218,113.059,0.353242,471.747,143.972,0.898626,174.206,174.885,0.890562,599.264,267.625,0.854304,89.1955,298.538,0.75123,471.747,267.625,0.644457,216.713,298.538,0.751169,386.735,298.538,0.53344,174.206,329.451,0.57473,514.252,391.278,0.604076,89.1955,391.278,0.722672,471.747,514.931,0.884256,89.1955,545.844,0.834295
squats_1.mp4,squats_1,unknown,11,0,65.5131,86.4772,5665.39,0.929182,297.787,150.923,0.619355,338.592,120.009,0.571274,297.787,120.009,0.567939,379.398,120.009,0.434792,256.982,89.0961,0.431639,461.009,150.923,0.886985,175.37,181.836,0.88753,583.425,274.576,0.852849,93.7596,336.402,0.802767,461.009,274.576,0.626813,256.982,274.576,0.737406,379.398,336.402,0.595042,175.37,367.315,0.584613,501.814,367.315,0.645548,134.565,398.229,0.63803,461.009,521.882,0.866612,93.7596,552.795,0.819137
squats_1.mp4,squats_1,unknown,12,0,65.5131,96.9593,6352.1,0.914929,305.031,121.672,0.584795,345.836,94.1007,0.700905,305.031,94.1007,0.618628,386.642,94.1007,0.45668,264.225,94.1007,0.425515,468.252,149.243,0.895837,182.614,149.243,0.917664,590.669,259.528,0.757232,101.003,287.1,0.791368,509.058,287.1,0.702967,223.42,259.528,0.805677,386.642,314.671,0.634634,182.614,314.671,0.704422,509.058,397.385,0.798765,141.809,424.956,0.572365,468.252,535.241,0.901112,101.003,562.812,0.843875
squats_1.mp4,squats_1,unknown,13,0,65.5131,107.441,7038.81,0.918658,308.25,128.458,0.414965,308.25,103.577,0.518464,267.444,103.577,0.443644,389.861,78.6952,0.515553,267.444,78.6952,0.416784,471.472,153.339,0.90378,185.833,153.339,0.89329,593.888,277.746,0.892866,63.4168,277.746,0.84721,471.472,277.746,0.777423,185.833,302.628,0.789185,430.666,352.39,0.683019,185.833,352.39,0.738982,512.277,427.034,0.87595,145.028,427.034,0.83757,430.666,576.323,0.926941,63.4168,576.323,0.878011
squats_1.mp4,squats_1,unknown,14,0,68.1336,125.785,8570.19,0.909456,305.916,115.311,0.654704,345.152,94.0578,0.582612,266.68,94.0578,0.618143,384.388,94.0578,0.466017,227.444,94.0578,0.598619,502.096,157.816,0.910813,148.972,157.816,0.89232,619.804,264.081,0.952224,31.2633,264.081,0.954529,502.096,327.839,0.877708,148.972,327.839,0.83478,384.388,349.092,0.732009,188.207,349.092,0.823806,502.096,434.103,0.899596,109.736,434.103,0.910146,502.096,561.62,0.901233,109.736,582.873,0.878254
squats_1.mp4,squats_1,unknown,15,0,62.8925,138.888,8735,0.921424,305.748,96.2013,0.676289,348.253,76.9534,0.586978,263.242,76.9534,0.66295,390.76,57.7055,0.580066,263.242,57.7055,0.727401,475.771,134.697,0.931913,178.231,134.697,0.908266,603.288,250.184,0.921605,93.2196,250.184,0.905477,560.782,327.176,0.930943,93.2196,327.176,0.845694,433.265,327.176,0.727886,220.737,327.176,0.787245,475.771,442.663,0.925607,135.725,442.663,0.882255,475.771,558.15,0.897959,93.2196,558.15,0.896443
squats_1.mp4,squats_1,unknown,16,0,65.5131,144.129,9442.31,0.935858,303.582,87.6205,0.80307,344.387,69.0725,0.781061,262.776,69.0725,0.810467,385.193,69.0725,0.6102,262.776,69.0725,0.701026,466.804,143.264,0.927669,181.165,143.264,0.924576,548.414,254.552,0.932337,58.7487,254.552,0.894139,589.22,347.292,0.913723,58.7487,347.292,0.910449,425.998,347.292,0.750563,221.971,347.292,0.800645,466.804,458.579,0.90281,181.165,458.579,0.911177,466.804,569.867,0.898747,99.5543,569.867,0.887348
squats_1.mp4,squats_1,unknown,17,0,68.1336,149.37,10177.1,0.929242,306.845,64.357,0.8386,346.08,64.357,0.860488,306.845,64.357,0.875101,385.317,64.357,0.555874,267.609,64.357,0.714911,463.789,135.946,0.936278,189.136,135.946,0.908691,542.261,243.328,0.956893,110.664,243.328,0.924637,581.497,314.917,0.930397,32.192,314.917,0.908509,385.317,332.814,0.781788,189.136,332.814,0.820653,463.789,458.094,0.900324,189.136,440.197,0.932701,463.789,565.477,0.90863,110.664,565.477,0.900505
squats_1.mp4,squats_1,unknown,18,0,68.1336,149.37,10177.1,0.913305,348.711,64.6394,0.896868,348.711,46.7423,0.856851,309.475,46.7423,0.887773,427.184,46.7423,0.663435,270.239,46.7423,0.565696,466.42,136.228,0.939067,191.767,136.228,0.912147,544.892,225.714,0.927669,113.295,225.714,0.912026,584.128,297.302,0.904992,34.8229,297.302,0.924273,427.184,315.199,0.773482,231.003,315.199,0.787245,466.42,440.479,0.889228,191.767,440.479,0.94119,466.42,565.759,0.896686,113.295,565.759,0.88371
squats_1.mp4,squats_1,unknown,19,0,68.1336,149.37,10177.1,0.900555,350.259,64.71,0.902264,350.259,46.8129,0.882377,311.023,46.8129,0.905053,428.732,46.8129,0.601408,271.787,46.8129,0.579581,467.968,136.299,0.934884,193.315,136.299,0.914633,546.44,225.784,0.912753,114.843,225.784,0.906084,585.676,297.373,0.918816,75.6071,297.373,0.920575,428.732,333.167,0.768752,232.551,333.167,0.766266,467.968,440.55,0.885105,193.315,440.55,0.941978,467.968,565.83,0.897171,114.843,565.83,0.884074
squats_1.mp4,squats_1,unknown,20,0,65.5131,149.37,9785.67,0.909336,309.698,64.5688,0.900991,350.503,46.6717,0.85964,268.893,46.6717,0.901779,391.309,64.5688,0.59486,228.087,64.5688,0.585705,472.92,136.157,0.929973,187.282,136.157,0.911541,554.531,225.643,0.929488,105.671,243.54,0.90669,595.337,315.129,0.933368,24.0596,315.129,0.86067,432.115,333.026,0.754201,228.087,333.026,0.772026,472.92,458.306,0.882983,187.282,458.306,0.929488,513.725,583.586,0.881043,105.671,583.586,0.883407
squats_1.mp4,squats_1,unknown,21,0,62.8925,146.749,9229.43,0.924371,309.101,75.0624,0.750745,351.607,56.8457,0.746622,266.596,56.8457,0.786821,394.113,56.8457,0.607714,224.09,56.8457,0.592071,479.124,147.929,0.913056,181.584,147.929,0.893472,564.135,239.013,0.922757,96.5728,239.013,0.84915,564.135,330.097,0.901718,11.561,330.097,0.910995,436.618,330.097,0.755716,224.09,348.313,0.800463,479.124,457.614,0.914997,181.584,457.614,0.922151,521.629,566.914,0.884438,96.5728,585.131,0.879709
squats_1.mp4,squats_1,unknown,22,0,65.5131,141.508,9270.63,0.918597,270.825,83.1682,0.64185,311.63,64.2768,0.536714,270.825,64.2768,0.622447,393.241,64.2768,0.575094,230.019,64.2768,0.59007,474.852,139.842,0.917179,148.408,139.842,0.896079,597.268,234.3,0.913845,25.9913,253.191,0.938825,556.463,328.757,0.871887,107.603,347.648,0.852546,434.046,328.757,0.775967,189.213,347.648,0.811983,474.852,442.105,0.901476,148.408,460.997,0.913845,474.852,555.454,0.89323,107.603,574.345,0.896261
squats_1.mp4,squats_1,unknown,23,0,68.1336,120.544,8213.09,0.897608,271.323,91.67,0.661616,310.559,69.4931,0.62554,271.323,69.4931,0.649914,349.795,69.4931,0.617172,271.323,69.4931,0.501669,467.503,136.024,0.931246,192.851,158.201,0.947192,585.211,246.908,0.919665,35.9065,246.908,0.902264,506.739,291.262,0.818167,114.379,291.262,0.751351,428.267,335.616,0.787306,192.851,335.616,0.818107,506.739,446.5,0.908873,153.615,446.5,0.915118,506.739,579.561,0.904447,114.379,579.561,0.859215
squats_1.mp4,squats_1,unknown,24,0,68.1336,107.441,7320.37,0.935617,271.323,106.423,0.613171,310.559,106.423,0.545202,271.323,106.423,0.604197,349.795,81.5414,0.61305,232.087,81.5414,0.400959,467.503,156.186,0.915724,153.615,156.186,0.877223,585.211,255.711,0.896201,35.9065,305.474,0.886075,506.739,255.711,0.768328,153.615,255.711,0.759294,389.031,330.355,0.717518,232.087,330.355,0.750684,506.739,404.999,0.892987,153.615,429.881,0.834295,506.739,529.406,0.931731,114.379,554.288,0.861337
squats_1.mp4,squats_1,unknown,25,0,65.5131,96.9593,6352.1,0.927438,268.893,116.886,0.732191,268.893,116.886,0.697934,228.087,116.886,0.73207,350.503,89.3153,0.716366,187.282,116.886,0.452375,432.115,144.458,0.929851,146.476,172.029,0.89517,595.337,254.743,0.721035,64.8653,309.885,0.817258,513.725,282.314,0.579338,146.476,309.885,0.62657,391.309,309.885,0.71194,187.282,309.885,0.736921,472.92,392.599,0.814711,105.671,392.599,0.693993,472.92,558.027,0.910328,105.671,558.027,0.861216
squats_1.mp4,squats_1,unknown,26,0,68.1336,91.7183,6249.09,0.895383,271.942,132.702,0.812104,311.178,103.555,0.819986,271.942,103.555,0.797431,350.414,103.555,0.641607,232.706,103.555,0.611837,428.886,132.702,0.915178,154.234,161.849,0.886439,546.594,278.436,0.74553,36.5257,307.583,0.830354,468.122,278.436,0.639,193.47,278.436,0.774209,350.414,307.583,0.670832,193.47,336.729,0.634392,468.122,365.876,0.715336,114.998,395.023,0.529377,468.122,540.757,0.889167,114.998,569.904,0.827201
squats_1.mp4,squats_1,unknown,27,0,68.1336,94.3388,6427.64,0.900435,272.716,136.228,0.627237,311.952,107.891,0.598619,233.48,136.228,0.63518,351.187,107.891,0.624024,194.243,107.891,0.518282,429.66,164.565,0.897898,155.008,164.565,0.88844,547.368,277.914,0.744985,76.5353,334.588,0.783607,468.896,277.914,0.596679,115.772,306.251,0.68126,390.424,334.588,0.632149,194.243,334.588,0.631664,468.896,391.262,0.745166,115.772,419.599,0.677804,468.896,504.611,0.899717,115.772,532.948,0.840965
squats_1.mp4,squats_1,unknown,28,0,68.1336,104.821,7141.82,0.911501,293.688,109.333,0.638394,332.924,83.8294,0.572002,293.688,83.8294,0.671499,372.16,83.8294,0.469352,254.452,83.8294,0.576125,450.632,134.836,0.945979,175.98,160.34,0.890198,607.577,262.353,0.875768,58.2721,287.857,0.912753,489.868,262.353,0.755595,175.98,262.353,0.778393,372.16,287.857,0.698419,175.98,287.857,0.707029,489.868,389.87,0.891532,136.744,389.87,0.829445,450.632,542.891,0.939916,136.744,542.891,0.840601
squats_1.mp4,squats_1,unknown,29,0,65.5131,115.303,7553.85,0.900555,291.992,94.9649,0.664223,332.798,94.9649,0.637484,291.992,94.9649,0.715214,373.603,94.9649,0.680412,251.187,94.9649,0.536411,496.02,141.335,0.959682,169.576,141.335,0.935793,577.63,257.259,0.87698,47.1593,257.259,0.910995,536.825,280.444,0.840904,128.77,280.444,0.804343,414.409,349.999,0.785244,210.381,349.999,0.818289,536.825,442.739,0.910692,169.576,442.739,0.905841,496.02,558.663,0.908388,128.77,581.848,0.88656
squats_1.mp4,squats_1,unknown,30,0,65.5131,136.267,8927.28,0.920763,295.212,110.896,0.666224,336.017,91.2783,0.578489,295.212,91.2783,0.618446,417.628,91.2783,0.655492,254.406,91.2783,0.460621,499.239,169.75,0.964533,172.795,169.75,0.934944,580.85,248.222,0.954953,50.3787,267.84,0.909297,540.044,326.694,0.85873,131.99,326.694,0.849635,417.628,346.312,0.749229,213.601,346.312,0.862853,499.239,444.403,0.936703,131.99,444.403,0.917664,540.044,562.11,0.897716,131.99,562.11,0.885226
squats_1.mp4,squats_1,unknown,31,0,60.272,141.508,8528.98,0.914147,290.432,67.034,0.573881,334.786,67.034,0.489057,290.432,67.034,0.578186,379.139,67.034,0.6179,246.078,67.034,0.504579,467.847,142.6,0.920635,157.37,142.6,0.916937,600.908,218.165,0.909479,68.6631,237.057,0.944827,600.908,331.514,0.927123,24.3091,331.514,0.876738,423.493,312.622,0.748562,201.724,312.622,0.74165,512.201,444.862,0.937794,201.724,444.862,0.912026,512.201,558.211,0.899414,157.37,558.211,0.892745
squats_1.mp4,squats_1,unknown,32,0,62.8925,146.749,9229.43,0.930505,337.355,76.5715,0.734131,337.355,58.3548,0.748865,294.849,58.3548,0.777968,422.366,58.3548,0.626692,252.343,58.3548,0.612261,507.378,131.222,0.90857,167.332,131.222,0.882983,592.389,222.305,0.907721,82.3209,240.522,0.895473,634.895,331.606,0.893654,39.815,331.606,0.886803,422.366,331.606,0.777968,209.838,331.606,0.77815,507.378,459.123,0.893472,209.838,459.123,0.911359,507.378,568.423,0.891229,167.332,568.423,0.89038
squats_1.mp4,squats_1,unknown,33,0,65.5131,149.37,9785.67,0.925634,339.075,64.9217,0.897959,379.881,64.9217,0.854971,298.27,47.0246,0.883468,420.686,64.9217,0.568182,257.464,64.9217,0.581278,502.297,136.51,0.937733,175.853,136.51,0.905841,583.908,225.996,0.944706,94.2426,243.893,0.910631,583.908,315.482,0.897534,53.437,315.482,0.919968,420.686,333.379,0.772208,216.659,333.379,0.815681,502.297,458.659,0.889046,175.853,458.659,0.94119,502.297,566.042,0.890319,135.048,566.042,0.890198
squats_1.mp4,squats_1,unknown,34,0,65.5131,151.99,9957.35,0.91962,337.466,69.1116,0.906144,378.271,51.5231,0.89038,337.466,51.5231,0.899778,419.077,69.1116,0.655674,255.855,69.1116,0.599892,500.688,139.466,0.930336,215.049,139.466,0.90093,582.299,227.409,0.894078,133.438,227.409,0.905356,582.299,315.352,0.915845,51.8274,297.763,0.926638,459.882,332.94,0.770086,215.049,332.94,0.788882,500.688,456.06,0.888197,174.244,456.06,0.945373,500.688,561.591,0.877708,133.438,561.591,0.888379
squats_1.mp4,squats_1,unknown,35,0,65.5131,151.99,9957.35,0.90266,333.281,69.1809,0.918816,374.086,51.5923,0.898201,333.281,51.5923,0.903416,414.892,69.1809,0.627662,251.67,69.1809,0.594011,496.502,139.535,0.928396,210.864,139.535,0.902082,578.113,227.478,0.904325,129.253,227.478,0.889956,578.113,315.421,0.88371,47.6423,297.832,0.90002,455.697,333.009,0.772208,210.864,333.009,0.765236,496.502,456.129,0.881891,170.059,456.129,0.943312,496.502,561.661,0.877344,129.253,561.661,0.882862
squats_1.mp4,squats_1,unknown,36,0,62.8925,146.749,9229.43,0.913365,352.277,77.4339,0.859094,352.277,59.2172,0.882316,309.772,59.2172,0.878132,437.289,59.2172,0.579217,267.266,59.2172,0.64088,522.3,132.084,0.936703,182.255,132.084,0.910328,564.806,241.384,0.923061,97.2436,241.384,0.921727,607.312,314.251,0.887106,54.7377,332.468,0.893775,437.289,332.468,0.757535,224.761,332.468,0.757839,479.795,459.985,0.898383,182.255,459.985,0.918149,437.289,587.502,0.88941,97.2436,587.502,0.889774
squats_1.mp4,squats_1,unknown,37,0,62.8925,144.129,9064.62,0.920281,305.077,85.3524,0.597225,347.583,66.8045,0.550841,262.572,66.8045,0.637787,390.089,66.8045,0.571638,262.572,66.8045,0.572365,475.1,140.996,0.896564,177.56,140.996,0.890077,560.112,252.284,0.910874,92.5488,252.284,0.880921,560.112,326.476,0.895412,92.5488,363.572,0.846664,390.089,326.476,0.75602,177.56,326.476,0.771541,432.594,456.311,0.896504,135.055,456.311,0.897292,475.1,567.599,0.897777,92.5488,567.599,0.905599
squats_1.mp4,squats_1,unknown,38,0,65.5131,131.026,8583.92,0.905607,349.699,90.1777,0.560906,349.699,90.1777,0.563392,308.894,90.1777,0.551933,390.505,90.1777,0.41836,268.088,90.1777,0.517312,472.116,151.386,0.930518,186.477,151.386,0.892381,594.532,253.4,0.954771,64.0607,253.4,0.964897,512.921,335.01,0.877829,145.672,335.01,0.85491,390.505,335.01,0.761537,186.477,335.01,0.81271,512.921,437.024,0.893108,145.672,437.024,0.88559,472.116,559.441,0.894927,104.866,559.441,0.8808
